id,name,customUrl,total_subs,total_video,total_views,total_likes,total_comment,avg_views,avg_likes,avg_comment
UCCzUftO8KOVkV4wQG1vkUvg,Marine Ch. 宝鐘マリン,@houshoumarine,4270000,1446,1984495802,77871618,1088773,1372403.7358229598,53853.1244813278,752.9550484094052
UCTVSOgYuSWmNAt-lnJPkEEw,Jurard T Rexford Ch. HOLOSTARS-EN,@jurardtrexford,169000,393,10558656,905014,19783,26866.809160305344,2302.8346055979646,50.338422391857506
UC48jH1ul-6HOrcSSfoR02fQ,Yuhi Riri Official,@yuhiriri,388000,1355,85578610,3295780,31529,63157.64575645756,2432.309963099631,23.268634686346864
UCAnKiHbZhEayttn6p-sxfbg,Kevin Vangardo【MAHA5】,@kevinvangardo,125000,281,9354317,536939,15056,33289.38434163701,1910.8149466192172,53.580071174377224
UCgA2jKRkqpY_8eysPUs8sjw,Petra Gurin【NIJISANJI EN】,@petragurin,493000,524,28355976,2199240,20904,54114.45801526718,4197.022900763359,39.89312977099237
UCO8WcDsF5znr-qsXlzZNpqg,Ver Vermillion【NIJISANJI EN】,@ververmillion,237000,525,14938626,1512903,21745,28454.525714285715,2881.72,41.41904761904762
UCggO2c1unS-oLwTLT0ICywg,Kotoka Torahime【NIJISANJI EN】,@kotokatorahime,349000,11,9945644,432791,7783,904149.4545454546,39344.63636363636,707.5454545454545
UC7gxU6NXjKF1LrgOddPzgTw,Banzoin Hakka Ch. HOLOSTARS-EN,@banzoinhakka,195000,971,17594771,1762199,35447,18120.25849639547,1814.8290422245109,36.50566426364573
UCMGfV7TVTmHhEErVJg1oHBQ,Ao Ch. 火威青 ‐ ReGLOSS,@hiodoshiao,737000,534,111869587,6758008,79662,209493.60861423222,12655.445692883895,149.17977528089887
UCMzVa7B8UEdrvUGsPmSgyjA,Derem Kado  - にじさんじ / NIJISANJI,@deremkado,46100,244,989882,141613,4882,4056.8934426229507,580.3811475409836,20.008196721311474
UCXRlIK3Cw_TJIQC5kSJJQMg,戌亥とこ -Inui Toko-,@inuitoko,957000,839,280467727,7623489,79152,334288.11323003576,9086.399284862931,94.3408820023838
UCgexPS9fwEtLTCM8VZnEpjA,Marin Goldlock Ch.『 Re:Memories 』,@maringoldlock,37000,264,1962717,170525,2624,7434.534090909091,645.9280303030303,9.93939393939394
UCpJtk0myFr5WnyfsmnInP-w,Hana Macchia Ch.【NIJISANJI・にじさんじ】,@hanamacchia,280000,861,17761746,1511400,30841,20629.205574912892,1755.4006968641115,35.81997677119628
UCGNI4MENvnsymYjKiZwv9eg,Temma Ch. 岸堂天真,@kishidotemma,139000,1736,13468750,1411440,14716,7758.496543778801,813.0414746543779,8.476958525345623
UC6T7TJZbW6nO-qsc5coo8Pg,dooby,@dooby3d,513000,103,12354751,1396155,25219,119949.03883495145,13554.902912621359,244.84466019417476
UCmUjjW5zF1MMOhYUwwwQv9Q,宇志海いちご,@ushimiichigo,187000,801,15116841,942715,10317,18872.460674157304,1176.9225967540574,12.880149812734082
UCyl1z3jo3XHR1riLFKG5UAg,Watson Amelia Ch. hololive-EN,@watsonamelia,1760000,859,179272620,14774765,242707,208699.20838183936,17199.959254947615,282.545983701979
UCdn5BQ06XqgXoAxIhbqw5Rg,フブキCh。白上フブキ,@shirakamifubuki,2640000,2872,712867128,34040159,444144,248212.78830083564,11852.423050139276,154.64623955431756
UC_4tXjqecqox5Uc05ncxpxg,椎名唯華 / Shiina Yuika,@shiinayuika,859000,2284,369512112,12536885,138219,161782.88616462346,5489.003940455342,60.5161996497373
UCvaTdHTWBGv3MKj3KVqJVCw,Okayu Ch. 猫又おかゆ,@nekomataokayu,2060000,1512,597422702,21231300,281753,395120.83465608465,14041.86507936508,186.3445767195767
UCLHmLrj4pHHg3-iBJn_CqxA,Neuro-sama,@neurosama,799000,419,309975076,22060878,186189,739797.3174224343,52651.26014319809,444.36515513126494
UCoWz6jan_0RD-Z1pk3-h9Mg,Leo Axenos Ch.『 Re:Memories 』,@leoaxenos,48800,66,829161,100643,983,12563.045454545454,1524.8939393939395,14.893939393939394
UCgnfPPb9JI3e9A4cXHnWbyg,Shiori Novella Ch. hololive-EN,@shiorinovella,687000,731,70970108,8450740,131607,97086.33105335158,11560.519835841313,180.03693570451438
UC1iA6_NT4mtAcIII6ygrvCw,Hajime Ch. 轟はじめ ‐ ReGLOSS,@todorokihajime,1090000,780,375947640,20604732,261504,481984.1538461539,26416.323076923076,335.26153846153846
UCWQtYtq9EOB4-I5P-3fh8lA,Kanade Ch. 音乃瀬奏 ‐ ReGLOSS,@otonosekanade,763000,729,173183951,9674616,151036,237563.71879286694,13271.078189300411,207.18244170096023
UChLfthKoUV502J7gU9STArg,渋谷ハル,@shibuyahal,911000,4825,618126515,7341612,151046,128109.12227979275,1521.5776165803109,31.304870466321244
UCyapmNSsYj2KkoQEhZEhxrw,Elaine Celestia Ch.『 Re:Memories 』,@elainecelestia,843000,877,99393847,7571361,89557,113333.91904218929,8633.250855188142,102.11744583808438
UCFKOVgVbGmX65RxO3EtH3iw,Lamy Ch. 雪花ラミィ,@yukihanalamy,1360000,1602,332563052,17869608,237400,207592.41697877654,11154.561797752809,148.18976279650437
UCBURM8S4LH7cRZ0Clea9RDA,Reimu Endou【NIJISANJI EN】,@reimuendou,407000,1001,23064493,2397841,30826,23041.451548451547,2395.4455544455545,30.795204795204796
UCXU7YYxy_iQd3ulXyO-zC2w,伏見ガク【にじさんじ所属】,@fushimigaku,352000,1112,63615409,2950413,33725,57208.10161870503,2653.2491007194244,30.328237410071942
UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,@himemoriluna,1130000,1173,165827212,10654576,107202,141370.17220801365,9083.184995737425,91.3913043478261
UC9mf_ZVpouoILRY9NUIaK-w,Rikka ch.律可,@rikka,258000,1244,33820409,2048547,29259,27186.823954983924,1646.741961414791,23.520096463022508
UCu-J8uIXuLZh16gG-cT1naw,Finana Ryugu 【NIJISANJI EN】,@finanaryugu,480000,1084,57646742,3371282,46770,53179.65129151291,3110.0387453874537,43.14575645756457
UCHVXbQzkl3rDfsXWo8xi2qw,アンジュ・カトリーナ - Ange Katrina -,@angekatrina,936000,895,197779293,5091876,70727,220982.4502793296,5689.246927374302,79.0245810055866
UCoUFv7APM1XOo4TUaWbRekw,Reynard Blanc Ch.『 Re:Memories 』,@reynardblanc,84000,613,4203963,263379,8449,6858.014681892333,429.6557911908646,13.783034257748776
UC3K7pmiHsNSx1y0tdx2bbCw,Tenma Ch. マエミ 天満 【Phase Connect】,@tenmamaemi,244000,1174,26927575,2049867,43983,22936.605621805793,1746.0536626916526,37.46422487223169
UCHsx4Hqa-1ORjQTh9TYDhww,Takanashi Kiara Ch. hololive-EN,@takanashikiara,1610000,1381,276765802,21204200,387085,200409.70456191167,15354.23606082549,280.2932657494569
UCKeAhJvy8zgXWbh9duVjIaQ,Aruran Ch. アルランディス,@arurandeisu,235000,3177,44771149,3542964,32423,14092.272269436575,1115.1916902738433,10.205539817437835
